CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//2/25/2014 12:18:25 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//2/25/2014 12:18:25 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//2/25/2014 12:18:25 AM
CAD_U|CAFKU|E4354|AIQ|20140214091555|FKU-1A|||//2/25/2014 12:18:26 AM
CAD_U|CAFKU|E4354|AIQ|20140214091555|FKU-1A|||//2/25/2014 12:18:26 AM
CAD_U|CAFKU|E4361|AIQ|20140214112102|FKU-1A|||//2/25/2014 12:18:27 AM
CAD_U|CAFKU|E4361|AIQ|20140214112102|FKU-1A|||//2/25/2014 12:18:27 AM
CAD_U|CAFKU|E4361|AIQ|20140214112102|FKU-1A|||//2/25/2014 12:18:27 AM
CAD_U|CAFKU|E4363|AIQ|20131222111920|FKU-2|||//2/25/2014 12:18:28 AM
CAD_U|CAFKU|E4363|AIQ|20131222111920|FKU-2|||//2/25/2014 12:18:28 AM
CAD_U|CAFKU|E4363|AIQ|20131222111920|FKU-2|||//2/25/2014 12:18:28 AM
CAD_U|CABEU|E4694|AIQ|20140223113213|BEU-30|||//2/25/2014 12:18:30 AM
CAD_U|CABEU|E4694|AIQ|20140223113213|BEU-30|||//2/25/2014 12:18:30 AM
CAD_U|CABEU|GAB3|AIQ|20140224074744|BEU-30|||//2/25/2014 12:18:31 AM
CAD_U|CABEU|GAB3|AIQ|20140224074744|BEU-30|||//2/25/2014 12:18:31 AM
CAD_U|CABEU|GAB3|AIQ|20140224074744|BEU-30|||//2/25/2014 12:18:31 AM
CAD_U|CABEU|GAB4|AIQ|20140221071749|BEU-30|||//2/25/2014 12:18:32 AM
CAD_U|CABEU|GAB4|AIQ|20140221071749|BEU-30|||//2/25/2014 12:18:32 AM
CAD_U|CABEU|GAB4|AIQ|20140221071749|BEU-30|||//2/25/2014 12:18:32 AM
CAD_U|CACDF|T80|AIQ|20140117132848|HAAB|||//2/25/2014 12:18:32 AM
CAD_U|CACDF|T80|AIQ|20140117132848|HAAB|||//2/25/2014 12:18:32 AM
CAD_U|CACDF|T80|AIQ|20140117132848|HAAB|||//2/25/2014 12:18:32 AM
CAD_U|CACDF|T81|AIQ|20140202095041|HAAB|||//2/25/2014 12:18:32 AM
CAD_U|CACDF|T81|AIQ|20140202095041|HAAB|||//2/25/2014 12:18:32 AM
CAD_U|CACDF|T81|AIQ|20140202095041|HAAB|||//2/25/2014 12:18:32 AM
CAD_U|CACDF|T86|AIQ|20140211171459|R-8A|||//2/25/2014 12:18:33 AM
CAD_U|CACDF|T86|AIQ|20140211171459|R-8A|||//2/25/2014 12:18:33 AM
CAD_U|CACDF|T86|AIQ|20140211171459|R-8A|||//2/25/2014 12:18:33 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 12:18:34 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 12:18:34 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 12:18:34 AM
CAD_U|CAFKU|MIR1|AIQ|20140224063828|FKU-2|||//2/25/2014 12:18:35 AM
CAD_U|CAFKU|MIR1|AIQ|20140224063828|FKU-2|||//2/25/2014 12:18:35 AM
